City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pevek,69.7008,170.3133,-35.84,98,100,2.28,RU,1672606325
Thompson,55.7435,-97.8558,3.36,85,75,6.91,CA,1672606326
Dikson,73.5069,80.5464,-16.65,98,100,9.06,RU,1672606326
Rikitea,-23.1203,-134.9692,77.77,74,100,13.2,PF,1672606327
Port Alfred,-33.5906,26.891,69.19,88,4,4.0,ZA,1672606320
Isangel,-19.55,169.2667,82.51,78,79,11.5,VU,1672606194
Albany,42.6001,-73.9662,43.66,75,100,7.7,US,1672606329
Lazarev,52.225,141.5131,-17.16,80,23,8.43,RU,1672606329
Alice Springs,-23.7,133.8833,76.55,83,93,5.75,AU,1672606330
Birjand,32.8663,59.2211,30.67,51,0,0.0,IR,1672606331
Coahuayana Viejo,18.7333,-103.6833,86.76,44,2,7.36,MX,1672606332
Villa Carlos Paz,-31.4241,-64.4978,78.39,28,38,13.0,AR,1672606332
Kaitangata,-46.2817,169.8464,61.9,68,4,2.95,NZ,1672606333
Sinnamary,5.3833,-52.95,75.45,90,100,8.99,GF,1672606334
Bluff,-46.6,168.3333,58.98,74,35,2.82,NZ,1672606335
Longyearbyen,78.2186,15.6401,31.84,74,75,19.57,SJ,1672606336
Jamestown,42.097,-79.2353,44.02,69,100,11.5,US,1672606728
Severo-Kuril'sk,50.6789,156.125,31.44,95,100,14.9,RU,1672606337
Cape Town,-33.9258,18.4232,74.37,66,0,14.0,ZA,1672606124
Hobart,-42.8794,147.3294,72.27,75,0,1.14,AU,1672606209
Hasaki,35.7333,140.8333,33.22,56,8,12.21,JP,1672606325
Butaritari,3.0707,172.7902,82.27,73,85,16.37,KI,1672606321
Saskylakh,71.9167,114.0833,-8.43,99,100,3.38,RU,1672606339
Husavik,66.0449,-17.3389,17.01,77,34,19.73,IS,1672606340
Umluj,25.0213,37.2685,71.1,65,0,5.82,SA,1672606341
Belaya Gora,68.5333,146.4167,-20.45,97,100,1.61,RU,1672606342
Hornepayne,49.2138,-84.7705,31.8,98,100,6.35,CA,1672606343
Bredasdorp,-34.5322,20.0403,67.5,86,15,13.33,ZA,1672606344
Provideniya,64.3833,-173.3,-0.29,75,23,13.22,RU,1672606345
Saint-Philippe,-21.3585,55.7679,76.59,78,77,3.56,RE,1672606346
Lebu,-37.6167,-73.65,61.52,74,4,12.62,CL,1672606079
Qaanaaq,77.484,-69.3632,-2.92,61,81,6.8,GL,1672606347
Ushuaia,-54.8,-68.3,53.26,54,75,9.22,AR,1672606170
San Vicente,-26.6167,-54.1333,83.48,50,62,2.28,AR,1672606348
Te Anau,-45.4167,167.7167,65.03,65,17,0.27,NZ,1672606210
Chapais,49.7834,-74.8492,19.18,96,63,2.82,CA,1672606349
Beni Mazar,28.4962,30.8029,56.61,69,0,8.25,EG,1672606350
Kapaa,22.0752,-159.319,79.12,70,0,0.0,US,1672606078
Kavieng,-2.5744,150.7967,82.42,73,100,3.91,PG,1672606351
Saint George,37.1041,-113.5841,47.25,88,100,10.36,US,1672606165
Mataura,-46.1927,168.8643,66.15,63,5,0.69,NZ,1672606324
Ponta do Sol,32.6667,-17.1,65.01,75,98,8.81,PT,1672606353
Hithadhoo,-0.6,73.0833,80.74,74,11,12.59,MV,1672606354
Walvis Bay,-22.9575,14.5053,67.15,82,39,10.36,NA,1672606355
Avarua,-21.2078,-159.775,82.45,83,75,10.36,CK,1672606245
Puerto Ayora,-0.7393,-90.3518,84.16,91,34,3.0,EC,1672606201
Kavaratti,10.5669,72.642,81.07,71,40,11.34,IN,1672606356
East London,-33.0153,27.9116,69.37,84,2,14.12,ZA,1672606357
Kumul,42.8,93.45,19.62,53,77,1.81,CN,1672606089
Lompoc,34.6391,-120.4579,59.02,83,100,19.57,US,1672606358
Hilo,19.7297,-155.09,79.25,70,0,8.01,US,1672606212
Hambantota,6.1241,81.1185,72.57,84,100,7.34,LK,1672606085
Samarai,-10.6167,150.6667,81.07,79,100,11.3,PG,1672606360
Grindavik,63.8424,-22.4338,28.87,86,75,16.11,IS,1672606360
Hazorasp,41.3194,61.0742,33.64,67,23,9.84,UZ,1672606361
Maragogi,-9.0122,-35.2225,77.4,85,100,9.46,BR,1672606215
Dingzhou,38.5131,114.9956,23.11,48,36,3.51,CN,1672606362
Mar del Plata,-38.0023,-57.5575,69.1,92,100,17.0,AR,1672606363
Francistown,-21.17,27.5079,70.74,58,58,9.98,BW,1672606363
Fort Nelson,58.8053,-122.7002,-8.01,84,75,2.3,CA,1672606162
Souillac,-20.5167,57.5167,73.78,88,20,6.91,MU,1672606364
Yellowknife,62.456,-114.3525,7.32,85,100,4.61,CA,1672606365
São Filipe,14.8961,-24.4956,74.59,77,93,6.6,CV,1672606366
Busselton,-33.65,115.3333,52.83,81,0,13.49,AU,1672606367
Alekseyevsk,57.8406,108.3492,-30.59,100,21,2.82,RU,1672606368
Bethel,41.3712,-73.414,51.89,60,0,8.05,US,1672606368
The Valley,18.217,-63.0578,80.74,74,20,10.36,AI,1672606212
Hyderabad,17.3753,78.4744,69.31,83,40,5.75,IN,1672606219
Corn Island,12.1694,-83.0418,80.76,77,7,16.55,NI,1672606370
Punta Arenas,-53.15,-70.9167,57.31,51,40,36.82,CL,1672606371
Tadine,-21.55,167.8833,78.22,76,84,5.57,NC,1672606372
Tiruchchendur,8.4833,78.1167,76.87,74,84,13.91,IN,1672606373
Maniitsoq,65.4167,-52.9,4.28,70,29,13.65,GL,1672606374
Malanje,-9.5402,16.341,64.0,98,100,3.87,AO,1672606374
Carnarvon,-24.8667,113.6333,72.95,76,0,25.03,AU,1672606327
Alofi,-19.0595,-169.9187,78.69,89,100,11.5,NU,1672606327
Geraldton,-28.7667,114.6,61.21,88,0,9.22,AU,1672606376
Naze,28.3667,129.4833,54.52,66,21,9.55,JP,1672606248
Kuusamo,65.9667,29.1833,26.64,93,75,17.27,FI,1672606377
Yangi Marg`ilon,40.4272,71.7189,30.92,86,75,4.61,UZ,1672606378
Khatanga,71.9667,102.5,-18.31,96,42,10.89,RU,1672606378
